GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Student Project,edu.pdx.cs410J.whitlock,GPAOutOfBoundsException,4,0,0,0,2,0,1,0,1,0
Student Project,edu.pdx.cs410J.whitlock,Student,45,16,6,2,13,6,6,2,3,1
